time,price
2020-01-02,293.3385009765625
2020-01-03,290.4765625
2020-01-06,291.2501220703125
2020-01-07,290.2637939453125
2020-01-08,295.3854064941406
2020-01-09,299.2580261230469
2020-01-10,301.2621765136719
2020-01-13,305.1734619140625
2020-01-14,300.7490539550781
2020-01-15,304.244140625
2020-01-16,310.10137939453125
2020-01-17,313.3544616699219
2020-01-21,311.6794738769531
2020-01-22,313.9837951660156
2020-01-23,314.6324157714844
2020-01-24,313.36419677734375
2020-01-27,305.7156982421875
2020-01-28,310.0723571777344
2020-01-29,310.1207580566406
2020-01-30,314.12890625
2020-01-31,305.8802490234375
2020-02-03,314.1869812011719
2020-02-04,318.64056396484375
2020-02-05,317.8660888671875
2020-02-06,318.81488037109375
2020-02-07,316.58807373046875
2020-02-10,319.763671875
2020-02-11,320.38336181640625
2020-02-12,323.5201110839844
2020-02-13,325.1465759277344
2020-02-14,330.09393310546875
2020-02-18,330.37469482421875
2020-02-19,333.5889892578125
2020-02-20,333.48248291015625
2020-02-21,328.8837585449219
2020-02-24,314.3322448730469
2020-02-25,293.245849609375
2020-02-26,288.5502624511719
2020-02-27,276.71929931640625
2020-02-28,281.00823974609375
2020-03-02,296.97320556640625
2020-03-03,282.7025146484375
2020-03-04,292.73260498046875
2020-03-05,281.47296142578125
2020-03-06,277.8714294433594
2020-03-09,253.66746520996094
2020-03-10,271.6365051269531
2020-03-11,261.1706848144531
2020-03-12,233.8105010986328
2020-03-13,261.4126892089844
2020-03-16,228.14675903320312
2020-03-17,230.30575561523438
2020-03-18,220.6725311279297
2020-03-19,219.9174041748047
2020-03-20,204.688232421875
2020-03-23,196.82681274414062
2020-03-24,229.52151489257812
2020-03-25,248.31349182128906
2020-03-26,254.80018615722656
2020-03-27,239.76466369628906
2020-03-30,245.18634033203125
2020-03-31,233.86859130859375
2020-04-01,221.33091735839844
2020-04-02,231.27386474609375
2020-04-03,229.4827880859375
2020-04-06,257.47222900390625
2020-04-07,250.83071899414062
2020-04-08,262.7284240722656
2020-04-09,261.22540283203125
2020-04-13,255.34927368164062
2020-04-14,262.5054016113281
2020-04-15,249.33741760253906
2020-04-16,239.27243041992188
2020-04-17,252.08160400390625
2020-04-20,244.09161376953125
2020-04-21,237.90521240234375
2020-04-22,249.11444091796875
2020-04-23,248.0962677001953
2020-04-24,250.90835571289062
2020-04-27,257.0752868652344
2020-04-28,256.57110595703125
2020-04-29,275.0818786621094
2020-04-30,266.6264343261719
2020-05-01,260.58544921875
2020-05-04,261.0896911621094
2020-05-05,265.6664733886719
2020-05-06,264.17315673828125
2020-05-07,270.0201721191406
2020-05-08,273.86968994140625
2020-05-11,272.6965637207031
2020-05-12,263.85321044921875
2020-05-13,260.99273681640625
2020-05-14,268.8954162597656
2020-05-15,270.4759216308594
2020-05-18,281.1033935546875
2020-05-19,281.9081726074219
2020-05-20,289.7332763671875
2020-05-21,285.3310546875
2020-05-22,285.96142578125
2020-05-26,294.1258850097656
2020-05-27,290.6738586425781
2020-05-28,293.1271667480469
2020-05-29,291.75994873046875
2020-06-01,292.25445556640625
2020-06-02,294.3780517578125
2020-06-03,297.75244140625
2020-06-04,292.22540283203125
2020-06-05,302.4165344238281
2020-06-08,300.9909973144531
2020-06-09,302.0382385253906
2020-06-10,303.64788818359375
2020-06-11,282.4124450683594
2020-06-12,288.7539978027344
2020-06-15,288.15283203125
2020-06-16,295.24102783203125
2020-06-17,294.5428466796875
2020-06-18,295.59979248046875
2020-06-19,287.503173828125
2020-06-22,295.20220947265625
2020-06-23,297.5682067871094
2020-06-24,285.088623046875
2020-06-25,288.9672546386719
2020-06-26,280.5603942871094
2020-06-29,284.04144287109375
2020-06-30,286.72735595703125
2020-07-01,292.0314636230469
2020-07-02,293.2435302734375
2020-07-06,296.2978515625
2020-07-07,290.8097229003906
2020-07-08,291.4310607910156
2020-07-09,286.0325012207031
2020-07-10,287.0909118652344
2020-07-13,281.7507019042969
2020-07-14,290.2658386230469
2020-07-15,296.83929443359375
2020-07-16,290.65435791015625
2020-07-17,295.22747802734375
2020-07-20,302.89794921875
2020-07-21,298.66461181640625
2020-07-22,304.26702880859375
2020-07-23,300.8978576660156
2020-07-24,298.0043640136719
2020-07-27,299.8880920410156
2020-07-28,297.4315490722656
2020-07-29,300.3152770996094
2020-07-30,300.0238952636719
2020-07-31,299.5675964355469
2020-08-03,303.50970458984375
2020-08-04,305.2573547363281
2020-08-05,318.4721374511719
2020-08-06,320.5499267578125
2020-08-07,318.4914855957031
2020-08-10,313.5007629394531
2020-08-11,318.9964294433594
2020-08-12,318.11279296875
2020-08-13,316.7146301269531
2020-08-14,317.306884765625
2020-08-17,320.6372375488281
2020-08-18,321.3849182128906
2020-08-19,322.744140625
2020-08-20,327.5213928222656
2020-08-21,327.3077087402344
2020-08-24,333.65771484375
2020-08-25,337.56097412109375
2020-08-26,340.8233337402344
2020-08-27,345.65869140625
2020-08-28,355.4847717285156
2020-08-31,347.7850646972656
2020-09-01,346.5325622558594
2020-09-02,350.22216796875
2020-09-03,333.8519287109375
2020-09-04,325.27838134765625
2020-09-08,320.2973937988281
2020-09-09,329.77398681640625
2020-09-10,323.2103271484375
2020-09-11,320.5595397949219
2020-09-14,328.76416015625
2020-09-15,329.2884521484375
2020-09-16,331.91973876953125
2020-09-17,329.5700378417969
2020-09-18,325.5211181640625
2020-09-21,318.3263854980469
2020-09-22,325.5697326660156
2020-09-23,315.1029052734375
2020-09-24,318.67596435546875
2020-09-25,322.1423034667969
2020-09-28,328.5602722167969
2020-09-29,326.4630126953125
2020-09-30,328.3466491699219
2020-10-01,333.39556884765625
2020-10-02,328.98736572265625
2020-10-05,333.27899169921875
2020-10-06,327.6281433105469
2020-10-07,333.91009521484375
2020-10-08,335.51409912109375
2020-10-09,342.552001953125
2020-10-12,342.21173095703125
2020-10-13,336.184814453125
2020-10-14,333.1325988769531
2020-10-15,329.1177978515625
2020-10-16,329.92462158203125
2020-10-19,322.41046142578125
2020-10-20,322.45904541015625
2020-10-21,324.1116027832031
2020-10-22,324.2865295410156
2020-10-23,320.40789794921875
2020-10-26,309.1803894042969
2020-10-27,308.25689697265625
2020-10-28,283.245361328125
2020-10-29,284.9949645996094
2020-10-30,280.581787109375
2020-11-02,281.8746337890625
2020-11-03,287.1433410644531
2020-11-04,298.62353515625
2020-11-05,307.6931457519531
2020-11-06,304.8837585449219
2020-11-09,334.9405822753906
2020-11-10,325.4336242675781
2020-11-11,323.1104431152344
2020-11-12,319.1247863769531
2020-11-13,325.6766052246094
2020-11-16,326.0849609375
2020-11-17,327.1056213378906
2020-11-18,326.56121826171875
2020-11-19,324.55877685546875
2020-11-20,313.9825134277344
2020-11-23,322.7701416015625
2020-11-24,332.8311767578125
2020-11-25,331.7909851074219
2020-11-27,329.603759765625
2020-11-30,327.115234375
2020-12-01,329.4190979003906
2020-12-02,330.7217712402344
2020-12-03,325.78363037109375
2020-12-04,334.7364807128906
2020-12-07,331.44110107421875
2020-12-08,331.2758483886719
2020-12-09,327.4458923339844
2020-12-10,322.26458740234375
2020-12-11,318.27911376953125
2020-12-14,321.90496826171875
2020-12-15,324.3351745605469
2020-12-16,322.82843017578125
2020-12-17,327.4944152832031
2020-12-18,330.82867431640625
2020-12-21,325.03509521484375
2020-12-22,322.9644470214844
2020-12-23,320.0385437011719
2020-12-24,326.61956787109375
2020-12-28,334.85308837890625
2020-12-29,336.9819641113281
2020-12-30,345.62371826171875
2020-12-31,346.9749755859375
2021-01-04,341.6771240234375
2021-01-05,337.720703125
2021-01-06,337.84716796875
2021-01-07,340.5237121582031
2021-01-08,344.40728759765625
2021-01-11,338.9080505371094
2021-01-12,333.7689208984375
2021-01-13,337.0878601074219
2021-01-14,318.20556640625
2021-01-15,314.6335754394531
2021-01-19,317.24200439453125
2021-01-20,325.9726867675781
2021-01-21,325.5152282714844
2021-01-22,320.21063232421875
2021-01-25,320.4053039550781
2021-01-26,318.9551086425781
2021-01-27,307.0709228515625
2021-01-28,315.6263427734375
2021-01-29,307.8496398925781
2021-02-01,312.9789123535156
2021-02-02,325.4471435546875
2021-02-03,323.9385070800781
2021-02-04,331.7347106933594
2021-02-05,329.710205078125
2021-02-08,328.0361328125
2021-02-09,324.54193115234375
2021-02-10,325.29132080078125
2021-02-11,333.7202453613281
2021-02-12,331.900146484375
2021-02-16,332.10455322265625
2021-02-17,328.32806396484375
2021-02-18,329.4278259277344
2021-02-19,324.2791442871094
2021-02-22,331.5691833496094
2021-02-23,341.0688171386719
2021-02-24,357.5178527832031
2021-02-25,345.1080322265625
2021-02-26,344.40728759765625
2021-03-01,353.2157287597656
2021-03-02,353.1379089355469
2021-03-03,350.636474609375
2021-03-04,340.1733703613281
2021-03-05,351.2496643066406
2021-03-08,361.4207763671875
2021-03-09,366.4722595214844
2021-03-10,371.5141296386719
2021-03-11,374.12249755859375
2021-03-12,372.49713134765625
2021-03-15,371.5724792480469
2021-03-16,372.1759338378906
2021-03-17,368.5745849609375
2021-03-18,357.206298828125
2021-03-19,346.99627685546875
2021-03-22,348.8358459472656
